Title,PID,Description
"""Program in Practical Political Education"" (Photograph)",grinnell:5997,"This photograph shows Grinnell College students engaging in Grinnell's ""Program in Practical Political Education"" in 1962."
"""Riding"" the Underground Railroad",grinnell:23205,"Announcing a panel discussion on societal and artistic perspectives on the Underground Railroad."
"""Rollin' Along""",faulconer-art:46,
"""Souvenier des Aeux Livre des Histoires""",faulconer-art:901,
"""We Like Center Point. So Will You"", Center Point, Iowa",grinnell:13390,"Montage of 8 Center Point, Iowa landmarks including the Chicago, Rock Island and Pacific Railroad Station, Commercial Park, Center Point Canning Factory, High school building, Methodist Episcopal church, ditching for the water works mains, and Main Street. 1913 postmark."
"""Were You There"" - Roland Hayes (1940), essay",grinnell:19506,"Essay about tenor Roland Hayes (188701977) and the negro spiritual ""Were You There"" published in 1940 on Columbia Masterworks."
"""You could not step twice into the same river; for other waters are ever flowing onto you."" (Hericlitus, ca 540-480 BC) from The Levee portfolio",faulconer-art:3351,
"""from exploitation to the blues"" from The Levee portfolio",faulconer-art:3350,
"#2305 Midwest",faulconer-art:4475,
"#2307 Plains",faulconer-art:4476,
#319,faulconer-art:3919,
#robinhoodfail,grinnell:23150,"Advertising a lecture by Dr. Moya Bailey, assistant professor at Northeastern University."
"$100 Reward for Stolen Car, Rock Rapids, Iowa",grinnell:16384,"$100 Reward for Stolen Car, Rock Rapids, Iowa"
"$25.00 Reward",grinnell:12530,"Postcard sent by the Montezuma, Iowa, Chief of Police and the Northwestern National Insurance Company to the Sheriff's Office in Leon, Iowa, offering a $25.00 reward for information leading to the recovery of a 1932 Nash Sedan which was stolen in Montezuma on February 17, 1934. The postcard is postmarked February 21, 1934, Milwaukee, Wisconsin."
"$65,000 Catholic Cathedral in Construction, Stuart, Iowa",grinnell:14930,"$65,000 Catholic Cathedral in Construction, Stuart, Iowa"
"(All Cars Stop at Talbott's) Broad St. N. From 4th Ave., Grinnell, Iowa",grinnell:14365,"Transposed photo of trolley (right) onto Broad Street photo. 1912 postmark."
"(To Be Continued) Latin American Puzzle",faulconer-art:4380,
"(two men resting with hats)",faulconer-art:2661,
"(woman plaiting hair in front of mirror)",faulconer-art:2660,
"1 Sentiabria",faulconer-art:465,
"1-e maia na sele",faulconer-art:3106,
"1. Arch of Titus. 2. Villa Farnese. 3. Columns of the temple of Jupiter Stator [the Supporter",faulconer-art:1028,
"1001 Broad",grinnell:3262,"Details of the building on the NW corner of 5th Avenue and Broad St. (1001 Broad). This was the second permanent structure of the colony of Grinnell, built in the summer of 1854, for Anor Scott, store-keeper and merchant. It first stood near what is now the NW corner of the intersection of Fifth Avenue and Broad Street. (There were then no streets as such: the town would not file a plat until January, 1855). Later it was moved to High Street, then to the SW corner of the intersection of Third Avenue and Elm Street where it is now part of a small house. Fragments of the handsome hand-painted wallpaper (four colors) fixed directly to the inner skin of the building--boards of the board-and-batten construction, gaps, studs, cross-pieces and all--are still within the present walls. (Courtesy of Hugh and Deborah Sheridan)"
"1001 Broad Street",grinnell:21647,"1001 Broad Street, housing First Realty of Grinnell Better Homes and Gardens in downtown Grinnell, Iowa. Drake Community Library (Grinnell, Iowa) Archives. Main Street Slides, p.35, slide 5."
"1001 Broad Street After Coast To Coast",grinnell:21417,"1001 Broad Street, in Grinnell, Iowa, after the Coast To Coast sign came down, right before the renovation. Drake Community Library (Grinnell, Iowa) Archives. Main Street Slides, p.16, slide 14."
"1001 Broad Street Interiors Post-Renovation",grinnell:21425,"The interior of 1001 Broad Street in Grinnell, Iowa, after renovation for use by St. Mary's Church."
"1001 Broad Street Post-renovation",grinnell:21424,"The exterior of 1001 Broad Street in Grinnell, Iowa, after renovation. Drake Community Library (Grinnell, Iowa) Archives. Main Street Slides, p.17, slide 5."
"1001 Broad Street Renovation",grinnell:21423,"Three men inside 1001 Broad Street in Grinnell, Iowa, during renovation. Drake Community Library (Grinnell, Iowa) Archives. Main Street Slides, p.17, slide 4."
"1001 Broad from Parking Lot",grinnell:21419,"1001 Broad Street in Grinnell, Iowa, from the parking lot, showing the north side of the building after renovation. Drake Community Library (Grinnell, Iowa) Archives. Main Street Slides, p.16, slide 16."
"1002 High",grinnell:3284,"Photograph of the brick house at 1002 High Street built in the late 19th century. Owners have included William M. Holmes and John Manly. The house was demolished in 1977."
"1006-1008 Pearl Street, Grinnell, Iowa",grinnell:26639,"Black and white photograph of 1006 and 1008 Pearl Street with seven individuals in period dress outside."
"1008 High Street",grinnell:3255,"Photograph of the house at 1008 High Street built sometime before 1861. It was the family home of H.W. Williams and later was converted to student apartments. house. Abby Williams Hill (artist of note) was the daughter of H. W. Williams and was born in this house in 1861. See Abby Williams Hill, by R. Fields, ISBN 0-917048-63-6, c. 1989, page 11 where there is the picture of the house and more biographical information about her. Abby taught at the college briefly."
"100th Anniversary Day in Darby Gym",grinnell:5112,"Photo of Darby gymnasium packed with friends and alumni to celebrate 100th Anniversary Day"
"1011 Broad",grinnell:3280,"Photograph of the house at 1011 Broad Street, built in 1895 for J. W. Billings, a local dentist. The house was later (1921?) moved to its present location on the north side of 16th Ave, east of the railroad tracks (1533 16th Ave.) At the time of the move it was stripped of its chimney and cupola. The house was moved by horse and block and tackle on 6th to Penrose, and then north on Penrose to 16th. Other buildings to occupy the original site on Broad Street were Van Wechel car dealership/garage, an St. Mary's Education Center."
"1018, 1020 and 1024 Fifth Avenue",grinnell:11769,"Two views of 1018, 1020 and 1024 Fifth Avenue in Grinnell, Iowa. 1018 is on the right, 1020 in the middle, and 1024 on the left. These houses which were on the south side of Fifth Avenue between Park and State Streets were razed for the construction of Drake Community Library in 2009. These photos were probably taken in the 1990s. Drake Community Library (Grinnell, Iowa) Archives. Miscellaneous photographs. Collection #17-2, Grinnell Buildings."
"1103 Main Street",grinnell:21675,"Wintertime view of 1103 Main Street in Grinnell, Iowa. Drake Community Library (Grinnell, Iowa) Archives. Main Street Slides, p.38, slide 1."
"1103 Main Street From Corner of Main Street and Sixth Avenue",grinnell:21676,"1103 Main Street from the corner of Main Street and Sixth Avenue in Grinnell, Iowa. Drake Community Library (Grinnell, Iowa) Archives. Main Street Slides, p.38, slide 2."
"1110 Main Street",grinnell:3279,"The home at 1110 Main Street (6th and Main) was built in 1892 for Henry C. Spencer. The tower and chimneys were eventually removed and roof line altered from the original."
"1124 Third Avenue",grinnell:3275,"Photograph of the house at 1124 Third Ave. built in the late 19th century. An early owner was Louise Henley, wife of the county superintendent of schools. Later owned by Janet Carl and Greg Johnson."
"1125 Broad Street",grinnell:3266,"Photograph of the J. H. McMurray home at 1125 Broad Street, built in 1895. In 1915, McMurray made changes to the structure, including replacing the front porch and cutting off the pediments. At the NE corner, the second floor open porch was enclosed and windows added. A smoking balcony was created for Mr. McMurray with wood that would not absorb smoke. The Grinnell Historical Museum acquired the property in 1965."
"1126 Broad Street",grinnell:3272,"Photograph of the house at 1126 Broad Street owned by E. W. Clark, a doctor. It was originally built in the 1870s but damaged in the 1882 cyclone. The cupola was later restored."
"1127 Broad Street",grinnell:20421,"Winter postcard view of 1127 Broad Street in Grinnell, Iowa. This was the home of Walter Hammond and Hattie Child Hammond. The house was built in 1900 from George F. Barber's design #128, published in The Cottage Souvenir #2, revised and enlarged, 1892. A fire destroyed the house on January 18, 2013. Azo stamp box on verso with four triangles pointing up."
"1127 Park Street",grinnell:3256,"Photograph of the frame building at 1127 Park Street. It was originally constructed in 1888. Owned by H. G. Little followed by Mrs. E. D. Rand. Originally had verandas on the south, north, and east. Served at various times as a hospital, a college club, and a college administration building."
"1133 Broad Street",grinnell:3282,"Photograph of the house at 1133 Broad Street, built in 1895 for B. J. Carney, who owned a lumber business. A carriage house was built in the back of the property."
"11th of January, '72",faulconer-art:1353,
"120 Main Street",grinnell:21197,"Duplex at 120 Main Street, Grinnell, Iowa, built by Bohstedt Construction in 1990."
"1206 Broad Street",grinnell:3267,"Photographs of the house at 1206 Broad Street, built in 1884 for L. E. Spencer, a banker, attorney and realtor, to replace the earlier structure that fell into its own cellar during the cyclone of 1882. The interior photographs are from the early 1900s when the house was owned by J. P. Lyman. During the latter part of the 20th century, the house was owned by John and Barbara Kleinschmidt. More information about individual photographs is available in the Grinnell College Libraries Department of Special Collections and Archives."
"1227 Broad Street",grinnell:3278,"Photograph of the house at 1227 Broad Street built in 1882 for William Beaton, a piano tuner. His daughter became a national known pianist and the veranda visible in the photograph was hers. The house was taken down in 1934."
"124 Main Street",grinnell:21198,"House at 124 Main Street in Grinnell, Iowa, built by Bohstedt Construction in 1989."
"1300 Block of Elm Street After October 1997 Snowstorm",grinnell:18905,"Five views of the 1300 block of Elm Street after the October 1997 snowstorm in Grinnell, Iowa. Drake Community Library (Grinnell, Iowa) Archives. Miscellaneous photographs. Snowstorm, October 1997."
"1303 Alice Street Index",faulconer-art:1330,
"1303 Park Street",grinnell:3277,"The house at 1303 Park Street was built by and for David R. Warburton, owner of the Warburton, Richardson, and Phelps lumberyard, about 1900. The Grinnell Herald of Jan 1, 1901, cited it as the ""handsomest house built this past season...and one of the prettiest Grinnell affords and...certainly a model of attractive interior"""
"1305 Summer Street",grinnell:21051,"Winter view of 1305 Summer Street, Grinnell, Iowa, with snow on the ground. The back of the photo is labeled, ""The house where the ladies of the Priscilla & Drummond Clubs would meet!"" Drake Community Library (Grinnell, Iowa) Archives. Miscellaneous photographs. Collection 182, Drummond Club."
"1314 Elm Street",grinnell:21684,"1314 Elm Street in Grinnell, Iowa. Drake Community Library (Grinnell, Iowa) Archives. Main Street Slides, p.38, slide 13."
"1315 Park Street",grinnell:3257,"Exterior shot of one side of 1315 Park Street. No longer standing."
"1325 West Street",grinnell:21183,"Three views of 1325 West Street in Grinnell, Iowa. The house was built by Ed Bohstedt in 1952. View 2 shows the home during the March 1959 blizzard."
"1407 Sixth Avenue",grinnell:12274,"View of 1407 Sixth Avenue in Grinnell, Iowa. Verso of photo reads: ""Under the elms -- March 15, 1901 -- 1407 Sixth Ave., Grinnell."" Additional notes on verso read: ""Hobart carload lumber from Chicago. 1882 first coat of paint night before cyclone. Chicken feathers driven into wood. House had to be scraped. Used as hospital for injured. Dead bodies taken to house."" The Grinnell Cyclone was on June 17, 1882. Drake Community Library (Grinnell, Iowa) Archives. Miscellaneous photographs. Collection #17-5, Views of Grinnell."
"1407 Sixth Avenue",grinnell:3273,"Photographs of the house at 1407 Sixth Avenue. Built in1868 for Mr. Hobart, a lumber man. Hobart Street is named for him. Hobart had been a soldier in the 46th Infantry (100 days) and a local musician. Other owners included the Clifton Family, Lois Clifton Meacham and her sister. Lois Meacham's grandmother (Clifton) took off the veranda, cupola, and cornices, replaced the original floor-length windows and added a front stoop and porch. The house now has a number of apartments.,"
"1510 East Street",grinnell:18903,"Three views of 1510 East Street in Grinnell, Iowa, taken sometime in the 1960s. 1510 East Street was the home of Henry and Merta Matlack and their five children. It was demolished in the late 1990s or early 2000s. Drake Community Library (Grinnell, Iowa) Archives. Miscellaneous photographs. Collection #85, Matlack/ Kiesel/ Wieman."
"15127 Newcomer Avenue, Newburg, Iowa",grinnell:12023,"Home at 15127 Newcomer Avenue in Newburg, Iowa, (mailing address is Grinnell, Iowa) built by Charles Austin Palmer."
"17 Drawings by Thoreau",faulconer-art:2370,
"1737 Landscape No. 353/Iowa Sound No. 2",faulconer-art:3997,
"1749 Landscape No. 365/Iowa Sound No. 3",faulconer-art:3998,
"1807 Fourth Avenue",grinnell:3271,"Photograph of the house at 1807 Fourth Ave. Originally owned by Luke Newton Sherman. Built in 1883 and first occupied on New Year's Day, 1884. Later owned by Kathy and Dan Tindall."
"1817 Country Club Drive, Grinnell, Iowa",grinnell:19346,"Two views of 1817 Country Club Drive in Grinnell, Iowa. The first, where the house is white with black shutters, is from 1965. The second view is the house in 2017."
"1882 Cyclone - Corner of 7th and Broad",grinnell:3293,"Photograph of the aftermath of the 1882 cyclone that destroyed much of the town of Grinnell. 7th Ave. runs through the center of the photo, Broad Street is on the left."
"1889 Fire Damage",grinnell:3304,"Photograph of the damage to the business district caused by the 1889. The photo was taken from the railroad tower across Main Street. The Congregational Church is visible in the back center of the image. Main Street is on the left and Central Park on the far right. The fire started in two grain elevators next to the railroad around noon. The presumption is that a spark from the railroad ignited the very flammable contents of the elevators. The fire destroyed everything not constructed of brick. In 1891, the whole center of the block to the north burned."
"1889 Fire Damage - 2",grinnell:3317,"Photograph of damage to the business district caused by the fire of 1889. The scene is looking NE across the railroad to the Congregational Church. Central Park is on the right. The fire started in a grain elevator next to the railroad. The wind blew NE and then East. At the center of the photo, brick buildings are still standing. Some buildings on Main and 4th also remained. Lost to the fire were the post office, the implement store on Commercial Street (a replica was built at Living History Farms), the fire department, and other businesses As a result of the fire, the City Council then set up a fire zone and forbade the use of wooden awnings. The width of Commercial Street, which varied, was also made uniform."
"18th Street viaduct and bridges, Des Moines, Iowa",grinnell:16163,"Looking southwest from 18th Street (now Fleur Drive) at the bridge over the Raccoon River. Number 63397."
"1905 g. Podpol'naia tipografiia",faulconer-art:3074,
"1905 g. Podpol'naia tipografiia. RSDRP na Lesnoi ulitse v Moskve.",faulconer-art:3075,
"1905 g. Stachka",faulconer-art:3097,
"1905 g. Zabastovka",faulconer-art:3095,
"1905 god. K oruzhiiu!",faulconer-art:3098,
"1905 god. Passtrel Demonstratsii",faulconer-art:3099,
"1905 god. Zabastovka",faulconer-art:503,
"1907 Fire in Iowa Falls, Iowa",grinnell:16906,"1907 Fire in Iowa Falls, Iowa"
"1907 Ford Model S Automobile",grinnell:3379,"Photograph of a 1907 Ford Model S car which belonged to Bill Lidtka who lived near Grinnell, Iowa. Photograph has identification ""Uncle Bill Lidtka's car"". The car is in front of a farm house."
"1910 Town Band Float in 1949 Grinnell Day Parade",grinnell:19272,"Seven men in a wagon playing brass instruments in the 1949 Grinnell Day Parade in Grinnell, Iowa. The sign on the wagon reads ""1910 Town Band."" Drake Community Library (Grinnell, Iowa) Archives. Chamber of Commerce Slides, p.4, slide 5."
"1920s car in Grinnell parade",grinnell:26630,"1920s-model car in Grinnell, Iowa parade, c. 1940s"
"1938 Grinnell Automobile Race",grinnell:13008,"Photograph of an automobile race in Grinnell, Iowa, in 1938. Drake Community Library (Grinnell, Iowa) Archives. Miscellaneous photographs. Collection #17-6, People."
"1941 Overview of Town",grinnell:3313,"Overview from a photograph taken in 1941 showing Main Street to Broad and 4th. Grinnell House (hotel) is in the lower lefthand corner."
"1945 god. Pobeda!",faulconer-art:191,
"1946 Farm Record",grinnell:18937,"Farm record book published by C.A. Bacon, Hillsdale Michigan. This volume, published for 1946, has ""1947"" hand-written on the cover and contains records for the Raymond S. Pilgrim farm which was located in the northeast quarter of Section 27 of Grant Township in Poweshiek County, Iowa. The tables in the book are keyed to the federal income tax schedules. Schedules included are: Livestock bought and sold; sale of produce; labor expense; feed, seed, and supplies purchased; machines hired; repairs and maintenance; fertilizer; fuel and oil; interest paid; electricity and telephone; freight and trucking; veterinary and medicine; taxes paid; insurance; storage hired; rent of other lands and buildings; other miscellaneous expenses; depreciation of buildings, machinery, livestock, fences and drains; other income and other deductible expenses."
"1946 Spring Day Pie Eating Contest",grinnell:23458,"Five contestants compete in a pie-eating contest while a crowd cheers them on from behind on Spring Day."
"1947 Spring Day Pie Eating Contest",grinnell:23459,"Two contestants in the Spring Day pie-eating contest pause with their pies as the crowd around them enjoys the spectacle."
"1948 Farm Record",grinnell:18938,"Farm record book published by C.A. Bacon, Hillsdale Michigan. This volume, published for 1948, contains records for the Raymond S. Pilgrim farm which was located in the northeast quarter of Section 27 of Grant Township in Poweshiek County, Iowa. The tables in the book are keyed to the federal income tax schedules. Schedules included are: Livestock bought and sold; sale of produce; labor expense; feed, seed, and supplies purchased; machines hired; repairs and maintenance; fertilizer; fuel and oil; interest paid; electricity and telephone; freight and trucking; veterinary and medicine; taxes paid; insurance; storage hired; rent of other lands and buildings; other miscellaneous expenses; depreciation of buildings, machinery, livestock, fences and drains; other income and other deductible expenses."
"1953 Labor Day Parade",grinnell:20619,"Looking north and west from the corner of Fifth Avenue and Broad Street in Grinnell, Iowa, during the 1953 Labor Day Parade. Merchants' National Bank is in the background. The Chamber of Commerce float and a marching band are pictured."
"1953 Labor Day Parade Fourth Avenue",grinnell:20621,"Looking west on Fourth Avenue from the corner of Fourth and Broad Street during the 1953 Labor Day parade in Grinnell, Iowa. The rear of a Grinnell Transport truck is visible and a float from North Market is in front of Merchants' National Bank. Turner Drugs is visible in the background."
"1953 Labor Day Parade Looking West on Commerical",grinnell:20624,"Looking west on Commercial Street from the corner of Broad and Commercial during the 1953 Labor Day parade in Grinnell, Iowa. The entrance to the Park Hotel at 815 Broad Street is visible in the background, as are the storefronts on the north side of Commercial Street. Football players in Grinnell Tiger uniforms are riding on the front of an automobile decorated with a Tiger banner."
"1955 aerial view, Haverhill, Iowa",grinnell:14583,"Aerial view of Haverhill, Iowa with Immaculate Conception Church in the center of the photo. Early in its settlement nearly all of Haverhill"
"1962 Varsity Soccer Team",grinnell:4930,"1962 Varsity Soccer Team First Row: Al MacKnight, Bill Montfort, Jim Soble, Don Cook, Dave Scott, and Vince Anka. Second Row: Jim Ramsay, Ed Jones, Sandy Stern, Neil Weiner, Stu During, Ed Johnson, and Frank Chilingulo. Third Row: Coach Irv Simone, Dave Danley, John Johnson, Vance Opperman, Steve Brooks, Will Van Horne, and Steve Ellenwood. There is an additional photo of Bill Montfort controlling the ball in an undated scrimmage."
"1963 Cyclone Student Union",grinnell:4952,"Photograph of the 1963 Cyclone Student Union"
"1963 Freshman Track Team Photograph",grinnell:4929,"Team Photo of the 1963 freshman track team. First Row: Jack Harrod, John Shierholz, Bob Dyer, and John Kelsey. Second Row: Dave Imes, Walt Neal, Jim Smith, and Dave Synhorst. Third Road: Mike Stewart, John Tepaske, Jim Murtfeldt, Tom Wood, and Coach Terry Moore."
"1965 Homecoming Football Game",grinnell:5946,"Homecoming football game, John Shierholz, class of 1966, carrying the ball."
"1965-1966 Cyclone Fencers",grinnell:23528,"Students fencing"
"1969 Admissions Grinnell College Cover Photo",grinnell:12904,"A group of students sit around a table working. April 29, 1969."
"1969 Commencement Ceremony",grinnell:5144,"View from back of audience at the 1969 Commencement ceremonies. Far right, Mark Moulding ('71) with arm on chair of Debby Huntsinger ('70) in back row."
"1971 Biology Class",grinnell:3467,"Biology professor and students. From left to right: Guillermo Mendoza, Stone Prof. of Biology, Judy L. Haver ’72, Sally K. Harf ’73, Carlos A. Mendoza ’72, George J. Shybut ’72, and Laurel H. Etheridge ’73."
"1972 Commencement Diploma Presentation",grinnell:5191,"Student presented with diploma at 1972 Commencement."
"1972 Commencement stage from side",grinnell:5190,"Glenn Leggett, President; Beth W. Noble, Marshal; Jessie L. Ternberg, Class of 1946; Waldo S. Walker, Dean; at 1972 Commencement."
"1979 Commencement",grinnell:5302,"View from back of audience of the 1979 Commencement."
"1979 Commencement Honorary Degree Recipients",grinnell:5298,"Honorary degree recipients at the 1979 Commencement. From left to right: John R. Parish, Jane Howard, Marilyn Walsh, and Bernard Bailyn."
"1993 Theater Production",grinnell:23470,"Jeremy Hawkinson '93 and Emil Bergl and three other actors talking in a circle onstage in a 1993 theater production."
"1993 Theater Production",grinnell:23469,"Three student actors onstage during a 1993 theater production. A female actor is sitting distressed with her knees in her chest while a male actor approaches her and another overlooks them from a staircase."
1995.122,faulconer-art:187,
1995.172,faulconer-art:231,
1995.261,faulconer-art:311,
1995.323,faulconer-art:367,
1995.327,faulconer-art:371,
1995.613,faulconer-art:618,
1995.614,faulconer-art:619,
1995.619,faulconer-art:624,
1995.621,faulconer-art:625,
1995.632,faulconer-art:632,
"1996 Student Dance Performance",grinnell:23500,"Claire Rambo and Allison Hart among others pose onstage during a dance performance in 1996."
"1st Position Paper Conference Discussion",grinnell:5888,"Residence hall discussion of the First Position Paper Conference. Seated at right: Terri D. Tiddle, class of 1979; and Wilham C. Steel, class of 1938."
"1st Presbyterian Church, Council Bluffs, Iowa",grinnell:16979,"Looking northeast at the front entrance of the First Presbyterian Church built in 1865. This building was raised and a new, larger church building was built in 1887. It was located at 634 Willow Avenue, Council Bluffs, Pottawattamie County, Iowa. 1905 postmark. Number 19."
"2 Weeks in August: 14 Rural Absurdities",faulconer-art:3695,
"2 Weeks in August: 14 Rural Absurdities",faulconer-art:3697,
"2-Layer Altered Monotype",grinnell:17950,"Manipulated monotype image. Laser engraved fill, outlined by black acrylic on paper."
"2012 Awards Ceremony",grinnell:5080,"Poster advertising the 2012 Grinnell Prize Awards Ceremony on Nov. 13, 2012."
"2012-2013 Convocation/Public Events Schedule",grinnell:5184,"Calendar of convocations and Public Events scheduled for 2012/2013."
"2013 Awards Ceremony",grinnell:5093,"Poster advertising the 2013 Grinnell Prize Ceremony on November 5, 2013."
"2014 Phi Beta Kappa Scholar's Award Competition",grinnell:5129,"Call for submissions for the 2014 Phi Beta Kappa Scholar's Award Competition."
"2017 Endowed Chair, Professorship, and Staff Installation Ceremony",grinnell:23160,"Announcement of the 2017 endowed chairs installation ceremony."
