"","Title","PID","Description","alttitle","publisher","date","item","key","resource","topic","geo"
"12","1001 Broad","grinnell:3262","Details of the building on the NW corner of 5th Avenue and Broad St. (1001 Broad). This was the second permanent structure of the colony of Grinnell, built in the summer of 1854, for Anor Scott, store-keeper and merchant. It first stood near what is now the NW corner of the intersection of Fifth Avenue and Broad Street. (There were then no streets as such: the town would not file a plat until January, 1855). Later it was moved to High Street, then to the SW corner of the intersection of Third Avenue and Elm Street where it is now part of a small house. Fragments of the handsome hand-painted wallpaper (four colors) fixed directly to the inner skin of the building--boards of the board-and-batten construction, gaps, studs, cross-pieces and all--are still within the present walls. (Courtesy of Hugh and Deborah Sheridan)",NA,"Grinnell College",1854,"Digital Grinnell, John Kleinschmidt Collection","Grinnell, Grant, Business, Family Life","Photograph",NA,NA
"13","1001 Broad Street","grinnell:21647","1001 Broad Street, housing First Realty of Grinnell Better Homes and Gardens in downtown Grinnell, Iowa. Drake Community Library (Grinnell, Iowa) Archives. Main Street Slides, p.35, slide 5.",NA,"Poweshiek History Preservation Project",1990,"Digital Grinnell, Poweshiek History Preservation Project, Drake Community Library (Grinnell, Iowa) Archives","Grinnell, 1990s, Business","still image","Central business districts, Automobiles, First Realty of Grinnell Better Homes and Gardens (Grinnell, Iowa), Real property","Grinnell (Iowa)"
"14","1001 Broad Street After Coast To Coast","grinnell:21417","1001 Broad Street, in Grinnell, Iowa, after the Coast To Coast sign came down, right before the renovation. Drake Community Library (Grinnell, Iowa) Archives. Main Street Slides, p.16, slide 14.",NA,"Poweshiek History Preservation Project",1991,"Digital Grinnell, Poweshiek History Preservation Project, Drake Community Library (Grinnell, Iowa) Archives","Grinnell, 1990s, Business","still image","Central business districts, Stores, Retail, Coast To Coast Stores (Grinnell, Iowa)","Grinnell (Iowa)"
"15","1001 Broad Street Interiors Post-Renovation","grinnell:21425","The interior of 1001 Broad Street in Grinnell, Iowa, after renovation for use by St. Mary's Church.",NA,NA,NA,"Digital Grinnell",NA,"still image",NA,NA
"16","1001 Broad Street Post-renovation","grinnell:21424","The exterior of 1001 Broad Street in Grinnell, Iowa, after renovation. Drake Community Library (Grinnell, Iowa) Archives. Main Street Slides, p.17, slide 5.",NA,"Poweshiek History Preservation Project",1991,"Digital Grinnell, Poweshiek History Preservation Project, Drake Community Library (Grinnell, Iowa) Archives","Grinnell, 1990s, Business","still image","Central business districts, Buildings -- Repair and reconstruction","Grinnell (Iowa)"
"17","1001 Broad Street Renovation","grinnell:21423","Three men inside 1001 Broad Street in Grinnell, Iowa, during renovation. Drake Community Library (Grinnell, Iowa) Archives. Main Street Slides, p.17, slide 4.",NA,"Poweshiek History Preservation Project",1991,"Digital Grinnell, Poweshiek History Preservation Project, Drake Community Library (Grinnell, Iowa) Archives","Grinnell, 1990s, Business","still image","Central business districts, Buildings -- Repair and reconstruction","Grinnell (Iowa)"
"18","1001 Broad from Parking Lot","grinnell:21419","1001 Broad Street in Grinnell, Iowa, from the parking lot, showing the north side of the building after renovation. Drake Community Library (Grinnell, Iowa) Archives. Main Street Slides, p.16, slide 16.",NA,"Poweshiek History Preservation Project",1991,"Digital Grinnell, Poweshiek History Preservation Project, Drake Community Library (Grinnell, Iowa) Archives","Grinnell, 1990s, Business","still image","Central business districts, Stores, Retail, Buildings -- Repair and reconstruction","Grinnell (Iowa)"
"19","1002 High","grinnell:3284","Photograph of the brick house at 1002 High Street built in the late 19th century. Owners have included William M. Holmes and John Manly. The house was demolished in 1977.",NA,"Grinnell College",NA,"Digital Grinnell, John Kleinschmidt Collection","Grinnell, Grant, Family Life, 1900s","Photograph",NA,NA
"20","1006-1008 Pearl Street, Grinnell, Iowa","grinnell:26639","Black and white photograph of 1006 and 1008 Pearl Street with seven individuals in period dress outside.",NA,"Poweshiek History Preservation Project",1880,"Digital Grinnell, Poweshiek History Preservation Project, Grinnell Historical Museum","1880s, 1890s, Grinnell","still image","Dwellings, Grinnell Historical Museum, Women's clothing, 1006-1008 Pearl Street, Grinnell, Iowa","Grinnell (Iowa)"
"21","1008 High Street","grinnell:3255","Photograph of the house at 1008 High Street built sometime before 1861. It was the family home of H.W. Williams and later was converted to student apartments. house. Abby Williams Hill (artist of note) was the daughter of H. W. Williams and was born in this house in 1861. See Abby Williams Hill, by R. Fields, ISBN 0-917048-63-6, c. 1989, page 11 where there is the picture of the house and more biographical information about her. Abby taught at the college briefly.",NA,"Grinnell College",1989,"Digital Grinnell -- grinnell-collection:1, John Kleinschmidt Collection","Grinnell, Grant, Family Life","still image",NA,NA
"22","100th Anniversary Day in Darby Gym","grinnell:5112","Photo of Darby gymnasium packed with friends and alumni to celebrate 100th Anniversary Day",NA,"Grinnell College",1946,"Digital Grinnell","centennial, 100th anniversary day","Photograph",NA,"Grinnell (Iowa)"
"23","1011 Broad","grinnell:3280","Photograph of the house at 1011 Broad Street, built in 1895 for J. W. Billings, a local dentist. The house was later (1921?) moved to its present location on the north side of 16th Ave, east of the railroad tracks (1533 16th Ave.) At the time of the move it was stripped of its chimney and cupola. The house was moved by horse and block and tackle on 6th to Penrose, and then north on Penrose to 16th. Other buildings to occupy the original site on Broad Street were Van Wechel car dealership/garage, an St. Mary's Education Center.",NA,"Grinnell College",NA,"Digital Grinnell, John Kleinschmidt Collection","Grinnell, Grant, Family Life, 1900s","Photograph",NA,NA
"24","1018, 1020 and 1024 Fifth Avenue","grinnell:11769","Two views of 1018, 1020 and 1024 Fifth Avenue in Grinnell, Iowa. 1018 is on the right, 1020 in the middle, and 1024 on the left. These houses which were on the south side of Fifth Avenue between Park and State Streets were razed for the construction of Drake Community Library in 2009. These photos were probably taken in the 1990s. Drake Community Library (Grinnell, Iowa) Archives. Miscellaneous photographs. Collection #17-2, Grinnell Buildings.",NA,NA,NA,NA,NA,"still image",NA,NA
"25","1103 Main Street","grinnell:21675","Wintertime view of 1103 Main Street in Grinnell, Iowa. Drake Community Library (Grinnell, Iowa) Archives. Main Street Slides, p.38, slide 1.",NA,"Poweshiek History Preservation Project",1990,"Digital Grinnell, Poweshiek History Preservation Project, Drake Community Library (Grinnell, Iowa) Archives","Grinnell, 1990s, Business, Weather","still image","Central business districts, Architecture, Domestic, Homes, Snow, Winter","Grinnell (Iowa)"
"26","1103 Main Street From Corner of Main Street and Sixth Avenue","grinnell:21676","1103 Main Street from the corner of Main Street and Sixth Avenue in Grinnell, Iowa. Drake Community Library (Grinnell, Iowa) Archives. Main Street Slides, p.38, slide 2.",NA,"Poweshiek History Preservation Project",1990,"Digital Grinnell, Poweshiek History Preservation Project, Drake Community Library (Grinnell, Iowa) Archives","Grinnell, 1990s, Business, Weather","still image","Central business districts, Architecture, Domestic, Homes, Snow, Winter","Grinnell (Iowa)"
"27","1110 Main Street","grinnell:3279","The home at 1110 Main Street (6th and Main) was built in 1892 for Henry C. Spencer. The tower and chimneys were eventually removed and roof line altered from the original.",NA,"Grinnell College",NA,"Digital Grinnell, John Kleinschmidt Collection","Grinnell, Grant, Family Life, 1890s, 1990s","Photograph",NA,NA
"28","1124 Third Avenue","grinnell:3275","Photograph of the house at 1124 Third Ave. built in the late 19th century. An early owner was Louise Henley, wife of the county superintendent of schools. Later owned by Janet Carl and Greg Johnson.",NA,"Grinnell College",NA,"Digital Grinnell, John Kleinschmidt Collection","Grinnell, Grant, Family Life, 1990s","Photograph",NA,NA
"29","1125 Broad Street","grinnell:3266","Photograph of the J. H. McMurray home at 1125 Broad Street, built in 1895. In 1915, McMurray made changes to the structure, including replacing the front porch and cutting off the pediments. At the NE corner, the second floor open porch was enclosed and windows added. A smoking balcony was created for Mr. McMurray with wood that would not absorb smoke. The Grinnell Historical Museum acquired the property in 1965.",NA,"Grinnell College",NA,"Digital Grinnell, John Kleinschmidt Collection","Grinnell, Grant, Family Life, 1980s","Photograph",NA,NA
"30","1126 Broad Street","grinnell:3272","Photograph of the house at 1126 Broad Street owned by E. W. Clark, a doctor. It was originally built in the 1870s but damaged in the 1882 cyclone. The cupola was later restored.",NA,"Grinnell College",NA,"Digital Grinnell, John Kleinschmidt Collection","Grinnell, Grant, Family Life, 1880s","Photograph",NA,NA
"31","1127 Broad Street","grinnell:20421","Winter postcard view of 1127 Broad Street in Grinnell, Iowa. This was the home of Walter Hammond and Hattie Child Hammond. The house was built in 1900 from George F. Barber's design #128, published in The Cottage Souvenir #2, revised and enlarged, 1892. A fire destroyed the house on January 18, 2013. Azo stamp box on verso with four triangles pointing up.",NA,NA,NA,NA,NA,"still image",NA,NA
"32","1127 Park Street","grinnell:3256","Photograph of the frame building at 1127 Park Street. It was originally constructed in 1888. Owned by H. G. Little followed by Mrs. E. D. Rand. Originally had verandas on the south, north, and east. Served at various times as a hospital, a college club, and a college administration building.",NA,"Grinnell College",NA,"Digital Grinnell, John Kleinschmidt Collection","Grinnell, Grant, Family Life, Education, 1990s","Photograph",NA,NA
"33","1133 Broad Street","grinnell:3282","Photograph of the house at 1133 Broad Street, built in 1895 for B. J. Carney, who owned a lumber business. A carriage house was built in the back of the property.",NA,"Grinnell College",NA,"Digital Grinnell, John Kleinschmidt Collection","Grinnell, Grant, Family Life, 1990s","Photograph",NA,NA
"34","120 Main Street","grinnell:21197","Duplex at 120 Main Street, Grinnell, Iowa, built by Bohstedt Construction in 1990.",NA,"Poweshiek History Preservation Project",1992,"Poweshiek History Preservation Project, Digital Grinnell","1990s, Grinnell, Family Life, Business","still image","Bohstedt Construction (Grinnell, Iowa), Apartment houses, Architecture, Domestic","Grinnell (Iowa)"
"35","1206 Broad Street","grinnell:3267","Photographs of the house at 1206 Broad Street, built in 1884 for L. E. Spencer, a banker, attorney and realtor, to replace the earlier structure that fell into its own cellar during the cyclone of 1882. The interior photographs are from the early 1900s when the house was owned by J. P. Lyman. During the latter part of the 20th century, the house was owned by John and Barbara Kleinschmidt. More information about individual photographs is available in the Grinnell College Libraries Department of Special Collections and Archives.",NA,"Grinnell College",NA,"Digital Grinnell, John Kleinschmidt Collection","Grinnell, Grant, Family Life, 1900s","Photograph",NA,NA
"36","1227 Broad Street","grinnell:3278","Photograph of the house at 1227 Broad Street built in 1882 for William Beaton, a piano tuner. His daughter became a national known pianist and the veranda visible in the photograph was hers. The house was taken down in 1934.",NA,"Grinnell College",1890,"Digital Grinnell, John Kleinschmidt Collection, Poweshiek History Preservation Project","Grinnell, Grant, Family Life, 1890s","Photograph",NA,NA
"37","124 Main Street","grinnell:21198","House at 124 Main Street in Grinnell, Iowa, built by Bohstedt Construction in 1989.",NA,"Poweshiek History Preservation Project",1992,"Digital Grinnell, Poweshiek History Preservation Project","1990s, Grinnell, Family Life, Business","still image","Bohstedt Construction (Grinnell, Iowa), Architecture, Domestic, Homes, Dwellings","Grinnell (Iowa)"
"38","1300 Block of Elm Street After October 1997 Snowstorm","grinnell:18905","Five views of the 1300 block of Elm Street after the October 1997 snowstorm in Grinnell, Iowa. Drake Community Library (Grinnell, Iowa) Archives. Miscellaneous photographs. Snowstorm, October 1997.",NA,NA,NA,NA,NA,"still image",NA,NA
"39","1303 Park Street","grinnell:3277","The house at 1303 Park Street was built by and for David R. Warburton, owner of the Warburton, Richardson, and Phelps lumberyard, about 1900. The Grinnell Herald of Jan 1, 1901, cited it as the ""handsomest house built this past season...and one of the prettiest Grinnell affords and...certainly a model of attractive interior""","Faculty House","Grinnell College",NA,"Digital Grinnell, John Kleinschmidt Collection, Poweshiek History Preservation Project","Grinnell, Grant, Education, Family Life, 1990s","Photograph",NA,NA
"40","1305 Summer Street","grinnell:21051","Winter view of 1305 Summer Street, Grinnell, Iowa, with snow on the ground. The back of the photo is labeled, ""The house where the ladies of the Priscilla & Drummond Clubs would meet!"" Drake Community Library (Grinnell, Iowa) Archives. Miscellaneous photographs. Collection 182, Drummond Club.",NA,"Poweshiek History Preservation Project",1960,"Digital Grinnell, Poweshiek History Preservation Project, Drake Community Library (Grinnell, Iowa) Archives","1960s, Grinnell, Organizations","still image","Homes, Women -- Societies and clubs, Drummond Club (Grinnell, Iowa), Architecture, Domestic","Grinnell (Iowa)"
"41","1314 Elm Street","grinnell:21684","1314 Elm Street in Grinnell, Iowa. Drake Community Library (Grinnell, Iowa) Archives. Main Street Slides, p.38, slide 13.",NA,"Poweshiek History Preservation Project",1990,"Digital Grinnell, Poweshiek History Preservation Project, Drake Community Library (Grinnell, Iowa) Archives","Grinnell, 1990s, Family Life","still image","Dwellings, Chimneys, Porches, Architecture, Domestic, Homes","Grinnell (Iowa)"
"42","1315 Park Street","grinnell:3257","Exterior shot of one side of 1315 Park Street. No longer standing.",NA,"Grinnell College",NA,"Digital Grinnell, John Kleinschmidt Collection, Poweshiek History Preservation Project","Grinnell, Grant, Family Life, 1990s","Photograph",NA,NA
"43","1325 West Street","grinnell:21183","Three views of 1325 West Street in Grinnell, Iowa. The house was built by Ed Bohstedt in 1952. View 2 shows the home during the March 1959 blizzard.",NA,NA,NA,NA,NA,"still image",NA,NA
"44","1407 Sixth Avenue","grinnell:12274","View of 1407 Sixth Avenue in Grinnell, Iowa. Verso of photo reads: ""Under the elms -- March 15, 1901 -- 1407 Sixth Ave., Grinnell."" Additional notes on verso read: ""Hobart carload lumber from Chicago. 1882 first coat of paint night before cyclone. Chicken feathers driven into wood. House had to be scraped. Used as hospital for injured. Dead bodies taken to house."" The Grinnell Cyclone was on June 17, 1882. Drake Community Library (Grinnell, Iowa) Archives. Miscellaneous photographs. Collection #17-5, Views of Grinnell.",NA,NA,NA,NA,NA,"still image",NA,NA
"45","1407 Sixth Avenue","grinnell:3273","Photographs of the house at 1407 Sixth Avenue. Built in1868 for Mr. Hobart, a lumber man. Hobart Street is named for him. Hobart had been a soldier in the 46th Infantry (100 days) and a local musician. Other owners included the Clifton Family, Lois Clifton Meacham and her sister. Lois Meacham's grandmother (Clifton) took off the veranda, cupola, and cornices, replaced the original floor-length windows and added a front stoop and porch. The house now has a number of apartments.,",NA,"Grinnell College",NA,"Digital Grinnell -- grinnell-collection:1, John Kleinschmidt Collection, Poweshiek History Preservation Project","Grinnell, Grant, Family Life, 1900s","Photograph",NA,NA
"46","1510 East Street","grinnell:18903","Three views of 1510 East Street in Grinnell, Iowa, taken sometime in the 1960s. 1510 East Street was the home of Henry and Merta Matlack and their five children. It was demolished in the late 1990s or early 2000s. Drake Community Library (Grinnell, Iowa) Archives. Miscellaneous photographs. Collection #85, Matlack/ Kiesel/ Wieman.",NA,NA,NA,NA,NA,"still image",NA,NA
"47","15127 Newcomer Avenue, Newburg, Iowa","grinnell:12023","Home at 15127 Newcomer Avenue in Newburg, Iowa, (mailing address is Grinnell, Iowa) built by Charles Austin Palmer.",NA,"Poweshiek History Preservation Project",2008,"Digital Grinnell, Poweshiek History Preservation Project","2000s, Family Life","still image","Palmer family, Architecture, Domestic, Palmer, Charles Austin, 1889-1971","Newburg (Iowa)"
"48","1807 Fourth Avenue","grinnell:3271","Photograph of the house at 1807 Fourth Ave. Originally owned by Luke Newton Sherman. Built in 1883 and first occupied on New Year's Day, 1884. Later owned by Kathy and Dan Tindall.",NA,"Grinnell College",NA,"Digital Grinnell, John Kleinschmidt Collection, Poweshiek History Preservation Project","Grinnell, Grant, Family Life, 1900s","Photograph",NA,NA
"49","1817 Country Club Drive, Grinnell, Iowa","grinnell:19346","Two views of 1817 Country Club Drive in Grinnell, Iowa. The first, where the house is white with black shutters, is from 1965. The second view is the house in 2017.",NA,NA,NA,"Digital Grinnell",NA,"still image",NA,NA
"50","1882 Cyclone - Corner of 7th and Broad","grinnell:3293","Photograph of the aftermath of the 1882 cyclone that destroyed much of the town of Grinnell. 7th Ave. runs through the center of the photo, Broad Street is on the left.",NA,"Grinnell College",1882,"Digital Grinnell, John Kleinschmidt Collection, Poweshiek History Preservation Project","Grinnell, Grant, 1880s, Weather","Photograph",NA,NA
"51","1889 Fire Damage","grinnell:3304","Photograph of the damage to the business district caused by the 1889. The photo was taken from the railroad tower across Main Street. The Congregational Church is visible in the back center of the image. Main Street is on the left and Central Park on the far right. The fire started in two grain elevators next to the railroad around noon. The presumption is that a spark from the railroad ignited the very flammable contents of the elevators. The fire destroyed everything not constructed of brick. In 1891, the whole center of the block to the north burned.",NA,"Grinnell College",NA,"Digital Grinnell, John Kleinschmidt Collection, Poweshiek History Preservation Project","Grinnell, Grant, Business, 1880s","Photograph",NA,NA
"52","1889 Fire Damage - 2","grinnell:3317","Photograph of damage to the business district caused by the fire of 1889. The scene is looking NE across the railroad to the Congregational Church. Central Park is on the right. The fire started in a grain elevator next to the railroad. The wind blew NE and then East. At the center of the photo, brick buildings are still standing. Some buildings on Main and 4th also remained. Lost to the fire were the post office, the implement store on Commercial Street (a replica was built at Living History Farms), the fire department, and other businesses As a result of the fire, the City Council then set up a fire zone and forbade the use of wooden awnings. The width of Commercial Street, which varied, was also made uniform.",NA,"Grinnell College",1889,"Digital Grinnell, John Kleinschmidt Collection, Poweshiek History Preservation Project","Grinnell, Grant, Business, 1880s","Photograph",NA,NA
"53","18th Street viaduct and bridges, Des Moines, Iowa","grinnell:16163","Looking southwest from 18th Street (now Fleur Drive) at the bridge over the Raccoon River. Number 63397.",NA,"Tichnor Brothers, Inc. (Boston, Mass.), Hyman's Book Store (Des Moines, Iowa)",1940,"Iowa Historical Postcard Collection (IHPC), Grinnell College. Special Collections and Archives, Digital Grinnell",NA,"still image","Stone bridges, Transportation facilities, Rivers, Streets, Polk County (Iowa), Des Moines (Iowa)",NA
"54","1907 Fire in Iowa Falls, Iowa","grinnell:16906","1907 Fire in Iowa Falls, Iowa",NA,NA,NA,NA,NA,"still image","Disasters, Fires, Commercial facilities, Railroads",NA
"55","1907 Ford Model S Automobile","grinnell:3379","Photograph of a 1907 Ford Model S car which belonged to Bill Lidtka who lived near Grinnell, Iowa. Photograph has identification ""Uncle Bill Lidtka's car"". The car is in front of a farm house.",NA,"Poweshiek History Preservation Project",1907,"Digital Grinnell, Poweshiek History Preservation Project","1900s, Malcom, Transportation","still image","Rural life, Ford Model S automobile","Malcom (Iowa : Township)"
"56","1910 Town Band Float in 1949 Grinnell Day Parade","grinnell:19272","Seven men in a wagon playing brass instruments in the 1949 Grinnell Day Parade in Grinnell, Iowa. The sign on the wagon reads ""1910 Town Band."" Drake Community Library (Grinnell, Iowa) Archives. Chamber of Commerce Slides, p.4, slide 5.",NA,"Poweshiek History Preservation Project",1949,"Digital Grinnell, Poweshiek History Preservation Project, Drake Community Library (Grinnell, Iowa) Archives","1940s, Grinnell, Events & Celebrations","still image","Parades, Parade floats, Carriages and carts, Wagons, Band music","Grinnell (Iowa)"
"57","1920s car in Grinnell parade","grinnell:26630","1920s-model car in Grinnell, Iowa parade, c. 1940s",NA,"Poweshiek History Preservation Project",1940,"Digital Grinnell, Poweshiek History Preservation Project, Grinnell Historical Museum","1940s, Grinnell, Transportation, Events and Celebrations","still image","Automobiles, Grinnell Historical Museum","Grinnell (Iowa)"
"58","1938 Grinnell Automobile Race","grinnell:13008","Photograph of an automobile race in Grinnell, Iowa, in 1938. Drake Community Library (Grinnell, Iowa) Archives. Miscellaneous photographs. Collection #17-6, People.",NA,"Poweshiek History Preservation Project",1938,"Digital Grinnell, Poweshiek History Preservation Project, Drake Community Library (Grinnell, Iowa) Archives","1930s, Grinnell, Events & Celebrations","still image","Automobile racing","Grinnell (Iowa)"
"59","1941 Overview of Town","grinnell:3313","Overview from a photograph taken in 1941 showing Main Street to Broad and 4th. Grinnell House (hotel) is in the lower lefthand corner.",NA,"Grinnell College",1941,"Digital Grinnell, John Kleinschmidt Collection, Poweshiek History Preservation Project","Grinnell, Grant, Business, 1940s","Photograph",NA,NA
"60","1946 Farm Record","grinnell:18937","Farm record book published by C.A. Bacon, Hillsdale Michigan. This volume, published for 1946, has ""1947"" hand-written on the cover and contains records for the Raymond S. Pilgrim farm which was located in the northeast quarter of Section 27 of Grant Township in Poweshiek County, Iowa. The tables in the book are keyed to the federal income tax schedules. Schedules included are: Livestock bought and sold; sale of produce; labor expense; feed, seed, and supplies purchased; machines hired; repairs and maintenance; fertilizer; fuel and oil; interest paid; electricity and telephone; freight and trucking; veterinary and medicine; taxes paid; insurance; storage hired; rent of other lands and buildings; other miscellaneous expenses; depreciation of buildings, machinery, livestock, fences and drains; other income and other deductible expenses.","1947 Farm Record","C.A. Bacon, Poweshiek History Preservation Project",1947,"Poweshiek History Preservation Project, Digital Grinnell","1940s, Grant, Agriculture","text","Pilgrim, Raymond S., 1892-1969, Farm management -- Records and correspondence, Farms -- Taxation","Grant (Poweshiek County, Iowa : Township)"
"61","1946 Spring Day Pie Eating Contest","grinnell:23458","Five contestants compete in a pie-eating contest while a crowd cheers them on from behind on Spring Day.",NA,"Grinnell College",1946,"Digital Grinnell, Life at Grinnell College, Grinnell College. Special Collections and Archives","Students, Spring Day","still image",NA,"Grinnell (Iowa)"
"62","1947 Spring Day Pie Eating Contest","grinnell:23459","Two contestants in the Spring Day pie-eating contest pause with their pies as the crowd around them enjoys the spectacle.",NA,"Grinnell College",1947,"Digital Grinnell, Life at Grinnell College, Grinnell College. Special Collections and Archives","Students, Spring Day","still image",NA,"Grinnell (Iowa)"
"63","1948 Farm Record","grinnell:18938","Farm record book published by C.A. Bacon, Hillsdale Michigan. This volume, published for 1948, contains records for the Raymond S. Pilgrim farm which was located in the northeast quarter of Section 27 of Grant Township in Poweshiek County, Iowa. The tables in the book are keyed to the federal income tax schedules. Schedules included are: Livestock bought and sold; sale of produce; labor expense; feed, seed, and supplies purchased; machines hired; repairs and maintenance; fertilizer; fuel and oil; interest paid; electricity and telephone; freight and trucking; veterinary and medicine; taxes paid; insurance; storage hired; rent of other lands and buildings; other miscellaneous expenses; depreciation of buildings, machinery, livestock, fences and drains; other income and other deductible expenses.",NA,"C.A. Bacon, Poweshiek History Preservation Project",1948,"Digital Grinnell, Poweshiek History Preservation Project","1940s, Grant, Agriculture","text","Pilgrim, Raymond S., 1892-1969, Farm management -- Records and correspondence, Farms -- Taxation","Grant (Poweshiek County, Iowa : Township)"
"64","1953 Labor Day Parade","grinnell:20619","Looking north and west from the corner of Fifth Avenue and Broad Street in Grinnell, Iowa, during the 1953 Labor Day Parade. Merchants' National Bank is in the background. The Chamber of Commerce float and a marching band are pictured.",NA,"Poweshiek History Preservation Project",1953,"Poweshiek History Preservation Project, Digital Grinnell","1950s, Grinnell, Events & Celebrations","still image","Central business districts, Parades, Parade floats, Merchants' National Bank (Grinnell, Iowa), Labor day, Marching bands","Grinnell (Iowa)"
"65","1953 Labor Day Parade Fourth Avenue","grinnell:20621","Looking west on Fourth Avenue from the corner of Fourth and Broad Street during the 1953 Labor Day parade in Grinnell, Iowa. The rear of a Grinnell Transport truck is visible and a float from North Market is in front of Merchants' National Bank. Turner Drugs is visible in the background.",NA,"Poweshiek History Preservation Project",1953,"Digital Grinnell, Poweshiek History Preservation Project","1950s, Grinnell, Evebts & Celebrations","still image","Central business districts, Parade floats, Labor day, Parades","Grinnell (Iowa)"
"66","1953 Labor Day Parade Looking West on Commerical","grinnell:20624","Looking west on Commercial Street from the corner of Broad and Commercial during the 1953 Labor Day parade in Grinnell, Iowa. The entrance to the Park Hotel at 815 Broad Street is visible in the background, as are the storefronts on the north side of Commercial Street. Football players in Grinnell Tiger uniforms are riding on the front of an automobile decorated with a Tiger banner.",NA,"Poweshiek History Preservation Project",1953,"Digital Grinnell, Poweshiek History Preservation Project","1950s, Grinnell, Events & Celebrations","still image","Football players, Parades, Central business districts, Park Hotel (Grinnell, Iowa)","Grinnell (Iowa)"
"67","1955 aerial view, Haverhill, Iowa","grinnell:14583","Aerial view of Haverhill, Iowa with Immaculate Conception Church in the center of the photo. Early in its settlement nearly all of Haverhill",NA,NA,1982,"Iowa Historical Postcard Collection (IHPC)",NA,"still image","Marshall County (Iowa), Haverhill (Iowa), Aerial views, Cityscapes",NA
